Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
1,CA-2019-100000,04/11/2020,04/18/2020,Standard Class,CG-10000,Customer 0,Home Office,United States,Virginia City,Virginia,51090,East,OFF-LAB-10000,Office Supplies,Labels,Labels Model 761,51.72,1,0.2,6.75
2,CA-2020-100001,04/04/2020,04/06/2020,Standard Class,CG-10001,Customer 1,Corporate,United States,Nevada City,Nevada,94478,West,TEC-ACC-10001,Technology,Accessories,Accessories Model 781,124.34,3,0.4,-12.74
3,CA-2021-100002,06/21/2022,06/22/2022,Second Class,CG-10002,Customer 2,Home Office,United States,Utah City,Utah,97313,West,FUR-CHA-10002,Furniture,Chairs,Chairs Model 487,64.96,1,0.2,-2.27
4,CA-2022-100003,04/02/2019,04/09/2019,Standard Class,CG-10003,Customer 3,Corporate,United States,Arkansas City,Arkansas,90077,South,OFF-PAP-10003,Office Supplies,Paper,Paper Model 180,494.48,4,0.0,116.17
5,CA-2019-100004,12/03/2020,12/05/2020,Standard Class,CG-10004,Customer 4,Corporate,United States,Colorado City,Colorado,50397,West,FUR-CHA-10004,Furniture,Chairs,Chairs Model 826,1472.7,5,0.2,-63.54
6,CA-2020-100005,03/02/2021,03/04/2021,Standard Class,CG-10005,Customer 5,Home Office,United States,Pennsylvania City,Pennsylvania,61214,East,TEC-PHO-10005,Technology,Phones,Phones Model 912,352.06,8,0.6,-63.77
7,CA-2021-100006,08/15/2020,08/18/2020,First Class,CG-10006,Customer 6,Home Office,United States,Utah City,Utah,62251,West,OFF-FAS-10006,Office Supplies,Fasteners,Fasteners Model 234,356.21,5,0.3,11.38
8,CA-2022-100007,03/15/2021,03/18/2021,Second Class,CG-10007,Customer 7,Consumer,United States,Louisiana City,Louisiana,18110,South,FUR-TAB-10007,Furniture,Tables,Tables Model 561,1045.87,4,0.0,13.21
9,CA-2019-100008,07/26/2019,08/02/2019,Standard Class,CG-10008,Customer 8,Corporate,United States,Louisiana City,Louisiana,64268,South,FUR-CHA-10008,Furniture,Chairs,Chairs Model 195,54.06,1,0.2,-3.31
10,CA-2020-100009,06/08/2020,06/15/2020,Standard Class,CG-10009,Customer 9,Consumer,United States,Michigan City,Michigan,79163,Central,OFF-SUP-10009,Office Supplies,Supplies,Supplies Model 439,129.86,2,0.15,21.92
11,CA-2021-100010,06/02/2022,06/03/2022,Standard Class,CG-10010,Customer 10,Corporate,United States,Alabama City,Alabama,19474,South,TEC-COP-10010,Technology,Copiers,Copiers Model 458,1308.96,2,0.3,-34.92
12,CA-2022-100011,10/25/2020,11/01/2020,Standard Class,CG-10011,Customer 11,Corporate,United States,Oregon City,Oregon,64384,West,OFF-BIN-10011,Office Supplies,Binders,Binders Model 929,58.63,1,0.0,9.48
13,CA-2019-100012,08/09/2021,08/10/2021,Standard Class,CG-10012,Customer 12,Home Office,United States,Kentucky City,Kentucky,48623,South,FUR-CHA-10012,Furniture,Chairs,Chairs Model 324,309.91,2,0.2,-11.22
14,CA-2020-100013,04/15/2021,04/22/2021,Standard Class,CG-10013,Customer 13,Corporate,United States,Wisconsin City,Wisconsin,62083,Central,OFF-PAP-10013,Office Supplies,Paper,Paper Model 709,409.94,5,0.2,21.98
15,CA-2021-100014,09/11/2022,09/16/2022,Standard Class,CG-10014,Customer 14,Corporate,United States,Texas City,Texas,44754,Central,FUR-BOO-10014,Furniture,Bookcases,Bookcases Model 610,384.46,6,0.3,-54.71
16,CA-2022-100015,10/02/2020,10/05/2020,First Class,CG-10015,Customer 15,Corporate,United States,Utah City,Utah,26371,West,FUR-BOO-10015,Furniture,Bookcases,Bookcases Model 671,204.4,2,0.5,-45.53
17,CA-2019-100016,10/11/2021,10/12/2021,First Class,CG-10016,Customer 16,Home Office,United States,Arizona City,Arizona,16295,West,TEC-PHO-10016,Technology,Phones,Phones Model 153,1020.13,2,0.0,202.87
18,CA-2020-100017,09/11/2019,09/14/2019,First Class,CG-10017,Customer 17,Corporate,United States,Indiana City,Indiana,12869,Central,FUR-FUR-10017,Furniture,Furnishings,Furnishings Model 262,164.82,2,0.0,5.97
19,CA-2021-100018,11/16/2022,11/23/2022,Standard Class,CG-10018,Customer 18,Consumer,United States,Wisconsin City,Wisconsin,50818,Central,OFF-BIN-10018,Office Supplies,Binders,Binders Model 569,260.5,5,0.4,-30.08
20,CA-2022-100019,07/30/2022,08/02/2022,First Class,CG-10019,Customer 19,Consumer,United States,Oregon City,Oregon,50764,West,TEC-PHO-10019,Technology,Phones,Phones Model 915,14334.4,5,0.0,2633.95
21,CA-2019-100020,04/21/2020,04/27/2020,Same Day,CG-10020,Customer 20,Consumer,United States,Nevada City,Nevada,76235,West,OFF-BIN-10020,Office Supplies,Binders,Binders Model 215,265.84,7,0.1,49.08
22,CA-2020-100021,07/19/2020,07/21/2020,Standard Class,CG-10021,Customer 21,Consumer,United States,Oregon City,Oregon,92074,West,TEC-COP-10021,Technology,Copiers,Copiers Model 589,418.08,8,0.8,-118.91
23,CA-2021-100022,01/28/2021,01/30/2021,Standard Class,CG-10022,Customer 22,Corporate,United States,Oklahoma City,Oklahoma,12368,South,OFF-ENV-10022,Office Supplies,Envelopes,Envelopes Model 875,298.46,6,0.6,-4.74
24,CA-2022-100023,04/13/2021,04/20/2021,Standard Class,CG-10023,Customer 23,Corporate,United States,Minnesota City,Minnesota,60300,Central,TEC-MAC-10023,Technology,Machines,Machines Model 249,279.62,4,0.7,-81.98
25,CA-2019-100024,03/19/2020,03/24/2020,Standard Class,CG-10024,Customer 24,Consumer,United States,Georgia City,Georgia,97142,East,FUR-CHA-10024,Furniture,Chairs,Chairs Model 295,291.51,3,0.1,12.3
26,CA-2020-100025,10/17/2020,10/22/2020,Standard Class,CG-10025,Customer 25,Consumer,United States,Louisiana City,Louisiana,35945,South,OFF-ENV-10025,Office Supplies,Envelopes,Envelopes Model 840,93.67,8,0.3,-5.12
27,CA-2021-100026,09/25/2020,09/26/2020,Standard Class,CG-10026,Customer 26,Consumer,United States,Arizona City,Arizona,55543,West,OFF-FAS-10026,Office Supplies,Fasteners,Fasteners Model 336,85.51,3,0.3,1.44
28,CA-2022-100027,09/04/2019,09/07/2019,Second Class,CG-10027,Customer 27,Home Office,United States,Arizona City,Arizona,71389,West,OFF-SUP-10027,Office Supplies,Supplies,Supplies Model 319,237.66,2,0.3,-0.79
29,CA-2019-100028,08/06/2019,08/08/2019,Standard Class,CG-10028,Customer 28,Consumer,United States,Arizona City,Arizona,36646,West,TEC-COP-10028,Technology,Copiers,Copiers Model 861,148.77,3,0.7,-41.54
30,CA-2020-100029,03/17/2020,03/18/2020,Second Class,CG-10029,Customer 29,Corporate,United States,Pennsylvania City,Pennsylvania,40977,East,FUR-TAB-10029,Furniture,Tables,Tables Model 596,1065.67,3,0.2,12.55
31,CA-2021-100030,08/14/2021,08/17/2021,Standard Class,CG-10030,Customer 30,Corporate,United States,Tennessee City,Tennessee,79449,South,TEC-COP-10030,Technology,Copiers,Copiers Model 142,3676.49,6,0.2,249.54
32,CA-2022-100031,02/04/2019,02/11/2019,Standard Class,CG-10031,Customer 31,Consumer,United States,Arizona City,Arizona,86797,West,FUR-CHA-10031,Furniture,Chairs,Chairs Model 517,312.77,1,0.3,-41.78
33,CA-2019-100032,10/31/2022,11/04/2022,First Class,CG-10032,Customer 32,Consumer,United States,Arizona City,Arizona,28888,West,OFF-PAP-10032,Office Supplies,Paper,Paper Model 291,133.35,3,0.1,23.31
34,CA-2020-100033,10/24/2020,10/30/2020,Standard Class,CG-10033,Customer 33,Corporate,United States,Georgia City,Georgia,78450,East,FUR-BOO-10033,Furniture,Bookcases,Bookcases Model 972,902.2,3,0.2,-85.21
35,CA-2021-100034,11/08/2021,11/09/2021,Standard Class,CG-10034,Customer 34,Corporate,United States,North Carolina City,North Carolina,74895,East,OFF-BIN-10034,Office Supplies,Binders,Binders Model 663,38.17,1,0.8,-11.64
36,CA-2022-100035,06/09/2021,06/14/2021,Standard Class,CG-10035,Customer 35,Corporate,United States,Florida City,Florida,99780,East,OFF-ENV-10035,Office Supplies,Envelopes,Envelopes Model 141,274.37,5,0.6,-39.75
37,CA-2019-100036,10/19/2020,10/26/2020,Standard Class,CG-10036,Customer 36,Home Office,United States,Louisiana City,Louisiana,54261,South,FUR-TAB-10036,Furniture,Tables,Tables Model 618,207.35,1,0.6,-53.02
38,CA-2020-100037,01/29/2019,02/03/2019,Standard Class,CG-10037,Customer 37,Consumer,United States,Pennsylvania City,Pennsylvania,67854,East,OFF-ENV-10037,Office Supplies,Envelopes,Envelopes Model 426,214.82,2,0.15,28.36
39,CA-2021-100038,04/20/2022,04/27/2022,Second Class,CG-10038,Customer 38,Corporate,United States,Kentucky City,Kentucky,13709,South,OFF-SUP-10038,Office Supplies,Supplies,Supplies Model 157,76.62,3,0.5,-8.06
40,CA-2022-100039,12/14/2019,12/20/2019,Second Class,CG-10039,Customer 39,Corporate,United States,Texas City,Texas,77641,Central,TEC-MAC-10039,Technology,Machines,Machines Model 655,342.53,3,0.0,61.04
41,CA-2019-100040,02/02/2021,02/07/2021,First Class,CG-10040,Customer 40,Corporate,United States,Oklahoma City,Oklahoma,27640,South,OFF-ART-10040,Office Supplies,Art,Art Model 404,35.08,2,0.8,-10.22
42,CA-2020-100041,08/28/2021,09/01/2021,First Class,CG-10041,Customer 41,Consumer,United States,Michigan City,Michigan,76203,Central,OFF-STO-10041,Office Supplies,Storage,Storage Model 472,282.91,8,0.2,18.67
43,CA-2021-100042,01/01/2021,01/06/2021,Standard Class,CG-10042,Customer 42,Consumer,United States,Nevada City,Nevada,45547,West,OFF-PAP-10042,Office Supplies,Paper,Paper Model 851,71.94,9,0.0,16.87
44,CA-2022-100043,03/25/2020,03/27/2020,Second Class,CG-10043,Customer 43,Home Office,United States,Oregon City,Oregon,18415,West,TEC-ACC-10043,Technology,Accessories,Accessories Model 338,1832.05,8,0.0,309.09
45,CA-2019-100044,04/15/2019,04/18/2019,First Class,CG-10044,Customer 44,Corporate,United States,Oregon City,Oregon,90642,West,OFF-STO-10044,Office Supplies,Storage,Storage Model 536,57.8,1,0.1,13.38
46,CA-2020-100045,04/01/2020,04/07/2020,Standard Class,CG-10045,Customer 45,Corporate,United States,New York City,New York,47744,East,OFF-ENV-10045,Office Supplies,Envelopes,Envelopes Model 587,40.78,2,0.0,7.88
47,CA-2021-100046,04/28/2019,05/01/2019,Standard Class,CG-10046,Customer 46,Consumer,United States,Pennsylvania City,Pennsylvania,34285,East,FUR-CHA-10046,Furniture,Chairs,Chairs Model 862,591.88,3,0.1,36.18
48,CA-2022-100047,07/31/2020,08/03/2020,Second Class,CG-10047,Customer 47,Consumer,United States,Virginia City,Virginia,35934,East,FUR-TAB-10047,Furniture,Tables,Tables Model 958,549.55,2,0.7,-244.74
49,CA-2019-100048,01/28/2021,01/30/2021,Standard Class,CG-10048,Customer 48,Corporate,United States,Utah City,Utah,65123,West,OFF-BIN-10048,Office Supplies,Binders,Binders Model 168,198.51,6,0.5,-14.52
